Date,Time,Open,High,Low,Close,Volume
2020.02.18,16:00,1.08138,1.08165,1.07929,1.08019,7446
2020.02.18,17:00,1.08018,1.08077,1.07851,1.08074,6380
2020.02.18,18:00,1.08073,1.08254,1.08071,1.08225,6307
2020.02.18,19:00,1.08224,1.08237,1.08115,1.08142,4855
2020.02.18,20:00,1.08143,1.08144,1.08022,1.08038,2591
2020.02.18,21:00,1.08037,1.08039,1.07991,1.07997,2036
2020.02.18,22:00,1.07996,1.08014,1.07926,1.07936,2301
2020.02.18,23:00,1.07935,1.07965,1.07903,1.07955,1716
2020.02.19,0:00,1.07954,1.07957,1.07894,1.07911,1065
2020.02.19,1:00,1.0791,1.07953,1.07904,1.07941,2494
2020.02.19,2:00,1.07943,1.07968,1.07913,1.07944,1740
2020.02.19,3:00,1.07943,1.0799,1.07923,1.07977,1081
2020.02.19,4:00,1.07978,1.08033,1.07968,1.08016,1457
2020.02.19,5:00,1.08017,1.08025,1.07981,1.07985,1047
2020.02.19,6:00,1.07986,1.08014,1.07981,1.07986,799
2020.02.19,7:00,1.07985,1.07987,1.07954,1.07969,597
2020.02.19,8:00,1.0797,1.07971,1.07938,1.07951,818
2020.02.19,9:00,1.0795,1.07983,1.0791,1.07978,1323
2020.02.19,10:00,1.07977,1.08042,1.0796,1.08015,2777
2020.02.19,11:00,1.08014,1.08068,1.07961,1.08035,3728
2020.02.19,12:00,1.08036,1.08074,1.07988,1.08027,3805
2020.02.19,13:00,1.08026,1.08056,1.07983,1.08002,2776
2020.02.19,14:00,1.08003,1.08013,1.07841,1.07912,3987
2020.02.19,15:00,1.07911,1.08033,1.07902,1.08004,3324
2020.02.19,16:00,1.08005,1.08008,1.07896,1.07931,5248
2020.02.19,17:00,1.0793,1.07934,1.07831,1.07866,7126
2020.02.19,18:00,1.07867,1.07943,1.07818,1.07908,6691
2020.02.19,19:00,1.07907,1.07984,1.07865,1.07929,5872
2020.02.19,20:00,1.0793,1.07954,1.07856,1.07914,3297
2020.02.19,21:00,1.07913,1.07985,1.07896,1.0798,2076
2020.02.19,22:00,1.07979,1.08005,1.07921,1.0796,3744
2020.02.19,23:00,1.07959,1.08097,1.07953,1.08097,2944
2020.02.20,0:00,1.08098,1.08113,1.08033,1.08036,1855
2020.02.20,1:00,1.08035,1.08089,1.08034,1.0808,1031
2020.02.20,2:00,1.0808,1.08105,1.08067,1.08093,594
2020.02.20,3:00,1.08092,1.08148,1.08041,1.08107,2956
2020.02.20,4:00,1.08108,1.08128,1.07974,1.07998,2884
2020.02.20,5:00,1.07997,1.08017,1.07921,1.07924,2484
2020.02.20,6:00,1.07925,1.07998,1.07913,1.07967,2651
2020.02.20,7:00,1.07968,1.07982,1.07956,1.07982,927
2020.02.20,8:00,1.07983,1.07988,1.07954,1.07961,759
2020.02.20,9:00,1.07962,1.07969,1.07866,1.07879,1928
2020.02.20,10:00,1.07878,1.07923,1.07775,1.07901,5648
2020.02.20,11:00,1.07902,1.07976,1.07844,1.07965,4369
2020.02.20,12:00,1.07964,1.08057,1.07937,1.07994,4567
2020.02.20,13:00,1.07993,1.08013,1.07899,1.0792,4132
2020.02.20,14:00,1.07921,1.07972,1.07871,1.0796,4370
2020.02.20,15:00,1.07961,1.07969,1.07853,1.07877,4190
2020.02.20,16:00,1.07878,1.08044,1.07873,1.08042,5139
2020.02.20,17:00,1.08041,1.08207,1.08033,1.08165,7402
2020.02.20,18:00,1.08166,1.08195,1.08,1.08019,6845
2020.02.20,19:00,1.0802,1.08072,1.07825,1.07963,9324
2020.02.20,20:00,1.07964,1.08022,1.07925,1.07926,6252
2020.02.20,21:00,1.07925,1.07966,1.07905,1.07933,2929
2020.02.20,22:00,1.07932,1.07945,1.07861,1.07891,2942
2020.02.20,23:00,1.0789,1.07902,1.07845,1.07892,2213
2020.02.21,0:00,1.07891,1.07891,1.07825,1.07842,1302
2020.02.21,1:00,1.07842,1.0788,1.07838,1.0787,2177
2020.02.21,2:00,1.07869,1.07887,1.07841,1.07872,966
2020.02.21,3:00,1.07873,1.07913,1.07868,1.07898,1700
2020.02.21,4:00,1.07897,1.07933,1.07891,1.07924,1552
2020.02.21,5:00,1.07923,1.07932,1.07872,1.07893,2313
2020.02.21,6:00,1.07894,1.07919,1.07886,1.07898,1159
2020.02.21,7:00,1.07897,1.07945,1.07889,1.07943,1249
2020.02.21,8:00,1.07942,1.07944,1.07917,1.07927,797
2020.02.21,9:00,1.07926,1.07943,1.07892,1.07899,1314
2020.02.21,10:00,1.079,1.07982,1.07894,1.07958,3930
2020.02.21,11:00,1.07957,1.08197,1.07899,1.08137,12568
2020.02.21,12:00,1.08138,1.08194,1.08085,1.08093,5655
2020.02.21,13:00,1.08094,1.08103,1.07958,1.07993,4131
2020.02.21,14:00,1.07994,1.08063,1.0795,1.08058,3887
2020.02.21,15:00,1.08057,1.08057,1.07959,1.07963,4147
2020.02.21,16:00,1.07962,1.0812,1.07961,1.08088,4807
2020.02.21,17:00,1.08087,1.08457,1.08008,1.08369,10180
2020.02.21,18:00,1.08368,1.0863,1.08367,1.08523,14202
2020.02.21,19:00,1.08524,1.0863,1.08483,1.0854,6468
2020.02.21,20:00,1.08539,1.08604,1.08534,1.08571,3162
2020.02.21,21:00,1.0857,1.08612,1.08537,1.08559,1996
2020.02.21,22:00,1.0856,1.08577,1.08523,1.08574,1973
2020.02.21,23:00,1.08573,1.08574,1.08472,1.08489,2059
2020.02.22,0:00,1.08488,1.08498,1.08458,1.0847,1520
2020.02.24,1:00,1.08246,1.08348,1.08191,1.08295,5171
2020.02.24,2:00,1.08296,1.08415,1.08286,1.08381,4500
2020.02.24,3:00,1.08382,1.08419,1.08283,1.08309,3268
2020.02.24,4:00,1.0831,1.08318,1.08239,1.08278,2615
2020.02.24,5:00,1.08279,1.08294,1.08223,1.08223,2021
2020.02.24,6:00,1.08224,1.08239,1.08212,1.08218,1673
2020.02.24,7:00,1.08217,1.08224,1.08186,1.08208,831
2020.02.24,8:00,1.08207,1.08216,1.08144,1.08146,1406
2020.02.24,9:00,1.08147,1.08203,1.08145,1.08161,2286
2020.02.24,10:00,1.08162,1.08191,1.08045,1.08167,6089
2020.02.24,11:00,1.08168,1.0828,1.08149,1.08261,8382
2020.02.24,12:00,1.08262,1.08414,1.08134,1.08153,8360
2020.02.24,13:00,1.08152,1.08254,1.08126,1.08155,6077
2020.02.24,14:00,1.08154,1.08249,1.08131,1.08204,4744
2020.02.24,15:00,1.08205,1.08277,1.08158,1.08179,5440
2020.02.24,16:00,1.0818,1.08218,1.08127,1.08143,5429
2020.02.24,17:00,1.08144,1.08524,1.08137,1.08487,10609
2020.02.24,18:00,1.08488,1.08604,1.08459,1.08555,10597
2020.02.24,19:00,1.08556,1.08635,1.08455,1.08555,7995
2020.02.24,20:00,1.08556,1.08714,1.08526,1.08704,7931
2020.02.24,21:00,1.08705,1.08718,1.08604,1.08635,3827
2020.02.24,22:00,1.08636,1.08636,1.0841,1.08428,6318
2020.02.24,23:00,1.08427,1.08565,1.08409,1.08519,5758
2020.02.25,0:00,1.0852,1.08552,1.08497,1.08529,1741
2020.02.25,1:00,1.08528,1.08556,1.08482,1.08514,2438
2020.02.25,2:00,1.08512,1.08537,1.08479,1.08483,1393
2020.02.25,3:00,1.08482,1.08525,1.08479,1.08514,2165
2020.02.25,4:00,1.08513,1.08594,1.08446,1.08581,2993
2020.02.25,5:00,1.0858,1.08642,1.08578,1.08631,2454
2020.02.25,6:00,1.0863,1.08672,1.08624,1.08624,1557
2020.02.25,7:00,1.08623,1.08626,1.086,1.08604,772
2020.02.25,8:00,1.08605,1.08605,1.08504,1.08507,1269
2020.02.25,9:00,1.08506,1.08571,1.0849,1.08513,3443
2020.02.25,10:00,1.08514,1.08585,1.08472,1.0853,5093
2020.02.25,11:00,1.08531,1.08655,1.08497,1.08631,8424
2020.02.25,12:00,1.08632,1.08656,1.08482,1.08501,6179
2020.02.25,13:00,1.085,1.08502,1.08344,1.08377,4855
2020.02.25,14:00,1.08378,1.08402,1.08298,1.08364,4803
2020.02.25,15:00,1.08365,1.08378,1.08296,1.08357,4317
2020.02.25,16:00,1.08358,1.08493,1.08353,1.08405,5109
2020.02.25,17:00,1.08406,1.08454,1.08316,1.08357,9160
2020.02.25,18:00,1.08358,1.08662,1.08331,1.08645,14762
2020.02.25,19:00,1.08644,1.08822,1.0862,1.08678,13723
2020.02.25,20:00,1.08679,1.08822,1.0866,1.08822,6533
2020.02.25,21:00,1.08823,1.08823,1.08715,1.08765,5560
2020.02.25,22:00,1.08764,1.08899,1.08728,1.08812,8774
2020.02.25,23:00,1.08811,1.0886,1.0875,1.08818,7371
2020.02.26,0:00,1.08817,1.0886,1.0879,1.08806,2183
2020.02.26,1:00,1.08807,1.08829,1.08777,1.08806,1761
2020.02.26,2:00,1.08805,1.08805,1.08752,1.08793,1192
2020.02.26,3:00,1.08792,1.08792,1.08669,1.08693,2653
2020.02.26,4:00,1.08694,1.08743,1.08688,1.08735,3042
2020.02.26,5:00,1.08734,1.08738,1.08619,1.08678,3635
2020.02.26,6:00,1.08679,1.08699,1.08647,1.08662,2028
2020.02.26,7:00,1.08661,1.08685,1.08653,1.0867,1494
2020.02.26,8:00,1.08671,1.08781,1.08671,1.08756,2629
2020.02.26,9:00,1.08757,1.08772,1.08699,1.08741,3874
2020.02.26,10:00,1.08742,1.08753,1.08651,1.08706,6659
2020.02.26,11:00,1.08707,1.08972,1.08707,1.08915,7137
2020.02.26,12:00,1.08914,1.08961,1.08841,1.08886,7884
2020.02.26,13:00,1.08885,1.08896,1.08726,1.08861,5571
2020.02.26,14:00,1.0886,1.08893,1.08731,1.08839,5423
2020.02.26,15:00,1.0884,1.09084,1.08684,1.08689,13474
2020.02.26,16:00,1.0869,1.08752,1.08558,1.0865,10334
2020.02.26,17:00,1.08651,1.08744,1.08546,1.08593,11082
2020.02.26,18:00,1.08592,1.08751,1.08565,1.08662,11538
2020.02.26,19:00,1.08661,1.08912,1.08637,1.0886,9696
2020.02.26,20:00,1.08861,1.08937,1.08777,1.08782,6229
2020.02.26,21:00,1.08783,1.08902,1.08744,1.08809,6783
2020.02.26,22:00,1.0881,1.08995,1.08792,1.08992,7079
2020.02.26,23:00,1.08991,1.08991,1.08827,1.08843,5006
2020.02.27,0:00,1.08842,1.08851,1.08764,1.08801,1787
2020.02.27,1:00,1.08803,1.08858,1.08764,1.08822,1141
2020.02.27,2:00,1.08826,1.08861,1.08791,1.0886,1687
2020.02.27,3:00,1.08859,1.09127,1.08844,1.08975,6031
2020.02.27,4:00,1.08976,1.09012,1.08949,1.09009,4013
2020.02.27,5:00,1.09008,1.09141,1.09006,1.091,3364
2020.02.27,6:00,1.09099,1.091,1.09038,1.0905,1834
2020.02.27,7:00,1.09051,1.09131,1.09028,1.09122,1544
2020.02.27,8:00,1.09121,1.09143,1.09059,1.09072,3010
2020.02.27,9:00,1.09073,1.09174,1.09053,1.09106,4347
2020.02.27,10:00,1.09107,1.09218,1.09079,1.09209,6642
2020.02.27,11:00,1.09208,1.09473,1.09186,1.09473,11032
2020.02.27,12:00,1.09472,1.09472,1.09317,1.09351,6381
2020.02.27,13:00,1.0935,1.09439,1.09324,1.09393,7508
2020.02.27,14:00,1.09392,1.09477,1.09344,1.09449,7080
2020.02.27,15:00,1.09448,1.09674,1.09415,1.09641,8955
2020.02.27,16:00,1.09642,1.09773,1.09586,1.09762,12118
2020.02.27,17:00,1.09761,1.09846,1.09626,1.09764,17108
2020.02.27,18:00,1.09765,1.10062,1.09721,1.09838,18234
2020.02.27,19:00,1.09837,1.0989,1.09701,1.09753,13734
2020.02.27,20:00,1.09754,1.09792,1.09644,1.09792,9168
2020.02.27,21:00,1.09791,1.09942,1.09776,1.09883,8812
2020.02.27,22:00,1.09884,1.09946,1.09851,1.09869,7089
2020.02.27,23:00,1.09868,1.09947,1.09803,1.09927,6522
2020.02.28,0:00,1.09926,1.1003,1.09872,1.09993,3687
2020.02.28,1:00,1.09994,1.10047,1.09992,1.10021,2067
2020.02.28,2:00,1.10022,1.10041,1.09956,1.0996,2583
2020.02.28,3:00,1.09961,1.10048,1.09944,1.09961,2999
2020.02.28,4:00,1.09962,1.09963,1.09856,1.09875,3274
2020.02.28,5:00,1.09876,1.09907,1.09819,1.09858,2715
2020.02.28,6:00,1.09859,1.09933,1.09838,1.09865,3892
2020.02.28,7:00,1.09866,1.09968,1.09853,1.09939,2687
2020.02.28,8:00,1.09938,1.10039,1.0992,1.09998,3530
2020.02.28,9:00,1.09997,1.10076,1.09984,1.10007,4725
2020.02.28,10:00,1.10006,1.10039,1.0991,1.09952,8244
2020.02.28,11:00,1.09953,1.10337,1.09947,1.10337,13551
2020.02.28,12:00,1.10336,1.10526,1.10286,1.10442,11889
2020.02.28,13:00,1.10443,1.10446,1.10256,1.10336,9261
2020.02.28,14:00,1.10337,1.10418,1.09858,1.09932,12229
2020.02.28,15:00,1.09933,1.09995,1.09846,1.09867,11717
2020.02.28,16:00,1.09866,1.09926,1.09681,1.09865,15369
2020.02.28,17:00,1.09864,1.0988,1.09505,1.09658,16356
2020.02.28,18:00,1.09657,1.09898,1.09544,1.09842,23613
2020.02.28,19:00,1.09843,1.10073,1.09786,1.09999,24131
2020.02.28,20:00,1.09998,1.10083,1.09947,1.10008,12010
2020.02.28,21:00,1.10007,1.10053,1.09899,1.10001,7143
2020.02.28,22:00,1.10002,1.10326,1.09904,1.10291,14294
2020.02.28,23:00,1.1029,1.10458,1.10251,1.10374,11368
2020.02.29,0:00,1.10373,1.10427,1.10237,1.10249,6118
2020.03.02,1:00,1.10413,1.10474,1.10391,1.1046,2278
2020.03.02,2:00,1.10459,1.10734,1.10458,1.10513,7655
2020.03.02,3:00,1.10514,1.10635,1.1036,1.10631,6435
2020.03.02,4:00,1.1063,1.10645,1.10517,1.10562,7164
2020.03.02,5:00,1.10563,1.1063,1.10547,1.10564,5466
2020.03.02,6:00,1.10563,1.10617,1.10513,1.10522,4540
2020.03.02,7:00,1.10521,1.10583,1.10473,1.10525,3653
2020.03.02,8:00,1.10524,1.10524,1.10415,1.10428,3117
2020.03.02,9:00,1.10429,1.10477,1.1038,1.10415,5459
2020.03.02,10:00,1.10414,1.10783,1.10392,1.1063,13604
2020.03.02,11:00,1.10631,1.10928,1.10598,1.10843,18627
2020.03.02,12:00,1.10842,1.10863,1.10627,1.10792,15388
2020.03.02,13:00,1.10791,1.10922,1.1077,1.10844,10888
2020.03.02,14:00,1.10845,1.11191,1.10814,1.11181,12521
2020.03.02,15:00,1.1118,1.11276,1.10993,1.11118,15922
2020.03.02,16:00,1.11119,1.11641,1.11088,1.11213,24428
2020.03.02,17:00,1.11214,1.11369,1.11074,1.11242,22907
2020.03.02,18:00,1.11243,1.11462,1.11119,1.11307,27823
2020.03.02,19:00,1.11306,1.11646,1.11242,1.11627,19766
